"MLBId","G","GS","PO","A","E","POS"
455759,45,33,66,0,0,"LF"
455976,81,80,172,3,3,"RF"
456027,38,0,2,2,0,"P"
456030,82,81,138,204,4,"2B"
456034,18,18,1,11,0,"P"
456068,13,12,5,8,0,"P"
456071,2,0,0,1,1,"P"
456078,59,59,455,35,3,"C"
456121,0,0,0,0,0,"LF"
456124,32,23,158,13,2,"C"
456167,9,9,1,4,0,"P"
456379,2,0,0,0,0,"P"
456422,45,36,91,2,2,"CF"
456488,76,68,67,149,9,"3B"
456501,18,18,14,17,1,"P"
456665,37,34,169,49,3,"1B"
456696,40,0,2,3,0,"P"
456701,0,0,0,0,0,"P"
456713,26,0,2,2,0,"P"
456714,20,14,93,7,2,"DH"
456715,72,72,196,2,3,"CF"
456776,0,0,0,0,0,"P"
456781,0,0,0,0,0,"3B"
457117,0,0,0,0,0,"P"
457429,35,0,0,4,0,"P"
457435,3,0,0,2,0,"P"
457448,0,0,0,0,0,"P"
457454,43,37,289,11,3,"C"
457456,1,0,0,0,0,"P"
457477,33,17,41,0,1,"CF"
457566,0,0,0,0,0,"P"
457574,10,7,11,8,0,"C"
457705,82,82,182,4,2,"CF"
457706,54,52,118,3,2,"CF"
457708,83,80,149,4,2,"LF"
457711,5,4,0,2,1,"P"
457727,45,43,97,0,1,"CF"
457732,26,0,1,1,0,"P"
457754,0,0,0,0,0,"P"
457759,80,74,35,129,3,"3B"
457762,0,0,0,0,0,"C"
457763,73,70,560,36,1,"C"
457768,24,0,0,2,0,"P"
457775,61,52,109,3,2,"LF"
457779,2,0,0,0,0,"P"
457787,86,82,99,235,7,"2B"
457789,18,17,36,48,1,"2B"
457803,80,79,150,7,4,"RF"
457915,7,0,0,1,0,"P"
457918,18,18,4,11,0,"P"
457926,15,10,13,18,0,"SS"
458006,37,0,2,5,2,"P"
458015,81,81,658,58,6,"1B"
458085,65,54,67,79,1,"LF"
458239,0,0,0,0,0,""
458252,0,0,0,0,0,"2B"
458530,0,0,0,0,0,"P"
458537,9,0,0,1,0,"P"
458550,0,0,0,0,0,"P"
458582,9,5,8,18,1,"3B"
458584,35,0,2,4,1,"P"
458675,82,69,124,9,0,"LF"
458677,36,0,1,4,0,"P"
458678,4,0,0,0,0,"P"
458681,0,0,0,0,0,"P"
458689,0,0,0,0,0,"LF"
458691,0,0,0,0,0,"3B"
458708,16,16,8,10,3,"P"
458709,0,0,0,0,0,"P"
458720,0,0,0,0,0,"P"
458730,6,0,1,1,0,"P"
458731,79,74,116,5,2,"LF"
458913,0,0,0,0,0,"LF"
458919,0,0,0,0,0,"P"
458924,0,0,0,0,0,"P"
458950,0,0,0,0,0,"P"
459429,28,0,2,0,0,"P"
459431,78,74,105,4,3,"LF"
459439,0,0,0,0,0,"P"
459964,32,22,40,0,0,"RF"
459987,15,4,2,6,0,"P"
460008,0,0,0,0,0,"P"
460024,35,0,0,1,0,"P"
460026,37,36,262,14,4,"C"
460059,18,17,8,14,0,"P"
460060,29,16,34,48,0,"2B"
460069,0,0,0,0,0,"P"
460075,69,68,118,9,1,"LF"
