"MLBId","G","GS","PO","A","E","POS"
519294,0,0,0,0,0,"P"
519295,30,17,39,0,0,"CF"
519299,0,0,0,0,0,"2B"
519301,25,0,0,3,0,"P"
519306,61,60,124,4,1,"RF"
519317,69,69,149,3,3,"RF"
519322,35,0,1,3,0,"P"
519326,41,0,4,5,0,"P"
519333,39,13,37,0,0,"LF"
519344,1,1,0,0,0,"P"
519381,8,0,0,0,0,"P"
519390,64,58,454,25,5,"C"
519411,0,0,0,0,0,"P"
519421,0,0,0,0,0,"RF"
519425,0,0,0,0,0,"C"
519437,30,0,1,2,0,"P"
519443,0,0,0,0,0,"P"
519445,10,5,5,16,0,"2B"
519452,0,0,0,0,0,""
519455,15,15,2,15,2,"P"
520471,85,83,108,236,6,"SS"
520980,40,0,0,8,2,"P"
521230,19,0,2,3,0,"P"
521692,71,70,576,42,3,"C"
522228,0,0,0,0,0,""
523253,54,54,93,126,5,"2B"
523260,6,6,1,1,1,"P"
523848,4,0,0,0,0,"P"
523989,11,8,5,3,0,"P"
524349,0,0,0,0,0,"P"
524968,0,0,0,0,0,"1B"
525768,0,0,0,0,0,"P"
527038,54,43,74,70,5,"3B"
527043,28,21,59,23,2,"1B"
527048,18,18,7,16,0,"P"
527049,0,0,0,0,0,"OF"
527054,17,17,9,13,1,"P"
527055,38,0,3,3,1,"P"
532077,39,0,1,3,0,"P"
533167,17,17,6,13,0,"P"
534581,0,0,0,0,0,""
534606,4,1,3,0,0,"LF"
534627,43,20,61,1,0,"CF"
534737,8,6,1,5,0,"P"
534812,38,0,0,2,0,"P"
534910,7,7,2,4,0,"P"
534947,4,4,1,1,0,"P"
537953,28,23,49,2,0,"LF"
539438,1,0,0,0,0,"P"
541600,0,0,0,0,0,"2B"
541608,20,17,135,4,1,"C"
541640,36,1,2,8,0,"P"
541645,19,16,40,2,1,"DH"
541650,44,29,38,45,4,"3B"
541652,7,0,0,0,0,"P"
542194,31,19,162,17,1,"C"
542208,56,53,399,29,3,"C"
542233,0,0,0,0,0,"C"
542255,56,54,162,10,4,"CF"
542303,79,79,187,3,5,"CF"
542316,0,0,0,0,0,""
542340,82,81,114,245,13,"SS"
542344,0,0,0,0,0,""
542364,38,32,72,6,3,"LF"
542369,0,0,0,0,0,"P"
542383,0,0,0,0,0,""
542432,2,0,0,0,0,"P"
542436,22,14,22,43,1,"SS"
542454,48,43,109,10,2,"CF"
542455,39,34,66,2,2,"LF"
542466,0,0,0,0,0,""
542513,0,0,0,0,0,"C"
542583,0,0,0,0,0,"1B"
542585,0,0,0,0,0,"P"
542587,27,0,1,3,0,"P"
542609,10,0,1,2,0,"P"
542642,0,0,0,0,0,"LF"
542664,0,0,0,0,0,""
542669,0,0,0,0,0,"P"
542674,31,0,5,1,0,"P"
542742,0,0,0,0,0,""
542866,7,0,0,0,0,"P"
542881,5,5,1,10,0,"P"
542882,14,8,4,4,0,"P"
542883,0,0,0,0,0,"SS"
542884,1,0,0,0,0,"P"
542888,1,0,0,0,0,"P"
542897,0,0,0,0,0,"LF"
542908,21,17,124,16,1,"C"
542921,29,25,36,62,3,"SS"
542923,0,0,0,0,0,"P"
542924,0,0,0,0,0,"P"
542932,0,0,0,0,0,""
542941,0,0,0,0,0,""
542942,0,0,0,0,0,"C"
542947,10,0,1,3,0,"P"
542953,15,0,2,2,1,"P"
542960,38,0,4,3,0,"P"
542963,0,0,0,0,0,"C"
542970,0,0,0,0,0,""
542979,25,19,42,0,3,"CF"
542992,5,0,0,6,0,"2B"
542993,73,67,151,4,2,"CF"
542994,0,0,0,0,0,"LF"
542999,0,0,0,0,0,"CF"
543017,39,0,0,2,0,"P"
543022,15,15,7,18,1,"P"
543031,0,0,0,0,0,"P"
543037,12,12,7,13,2,"P"
543038,0,0,0,0,0,"3B"
543045,17,17,3,10,0,"P"
543054,3,3,2,7,0,"P"
543056,13,0,0,3,0,"P"
543063,85,81,105,235,4,"SS"
543068,58,54,429,27,3,"1B"
543070,0,0,0,0,0,"P"
543089,0,0,0,0,0,""
543094,10,8,19,2,0,"CF"
543101,6,6,1,3,0,"P"
543105,8,8,7,0,0,"LF"
543114,0,0,0,0,0,""
543118,4,0,1,0,0,"P"
543135,17,16,6,11,1,"P"
543144,11,0,0,1,0,"P"
543148,10,6,36,6,0,"C"
543155,0,0,0,0,0,"P"
543169,11,0,2,3,0,"P"
543184,10,10,1,9,1,"P"
543188,0,0,0,0,0,""
543194,0,0,0,0,0,""
543195,0,0,0,0,0,"P"
543200,0,0,0,0,0,""
543213,77,73,136,154,5,"2B"
543216,22,13,22,22,2,"3B"
543219,5,0,0,1,0,"P"
543228,65,60,499,31,2,"C"
543232,0,0,0,0,0,""
543238,30,27,59,1,0,"CF"
543242,1,0,0,0,0,"P"
543243,16,16,9,6,1,"P"
543257,41,39,65,3,3,"LF"
543258,0,0,0,0,0,"P"
543261,6,0,1,5,1,"P"
543270,0,0,0,0,0,"P"
543272,41,0,2,6,1,"P"
543278,13,0,1,2,0,"P"
543281,81,77,153,228,6,"2B"
543294,17,16,7,20,1,"P"
543302,40,33,227,19,2,"C"
543305,80,50,103,2,1,"RF"
543308,0,0,0,0,0,"1B"
543309,0,0,0,0,0,"C"
543321,0,0,0,0,0,"LF"
543329,0,0,0,0,0,"LF"
543331,18,0,0,1,0,"P"
543333,84,84,663,39,5,"1B"
543334,2,0,0,1,0,"P"
543339,36,0,2,1,1,"P"
543343,0,0,0,0,0,"P"
543357,0,0,0,0,0,""
543359,31,0,1,5,1,"P"
543362,0,0,0,0,0,"C"
543376,25,21,163,17,1,"C"
543380,5,5,2,4,0,"P"
543391,10,1,4,4,0,"P"
543401,81,81,111,230,6,"2B"
543408,17,17,2,5,0,"P"
543424,12,12,0,10,0,"P"
543432,0,0,0,0,0,"C"
543434,83,83,144,212,8,"2B"
543456,14,0,1,4,0,"P"
543459,0,0,0,0,0,"2B"
543475,10,5,2,3,0,"P"
543483,0,0,0,0,0,"P"
543484,24,18,29,1,0,"LF"
543506,41,0,1,5,0,"P"
543507,31,0,1,0,1,"P"
543508,0,0,0,0,0,"P"
543510,50,48,349,25,2,"C"
543518,0,0,0,0,0,"P"
543521,18,18,7,8,0,"P"
543532,3,2,0,3,0,"P"
543542,2,1,0,0,0,"P"
543543,76,68,101,146,13,"1B"
543548,8,7,1,7,0,"P"
543557,30,0,3,2,2,"P"
543589,0,0,0,0,0,"C"
543590,68,51,123,2,0,"CF"
543592,0,0,0,0,0,"2B"
543594,0,0,0,0,0,"P"
543606,18,18,7,9,2,"P"
543607,0,0,0,0,0,"P"
543611,0,0,0,0,0,""
543633,0,0,0,0,0,"RF"
543643,0,0,0,0,0,"P"
543685,85,82,68,139,3,"3B"
543698,3,0,0,0,0,"P"
543699,18,18,6,25,0,"P"
543704,0,0,0,0,0,""
543706,5,3,4,0,0,"LF"
543716,4,0,0,0,0,"P"
543726,25,0,1,3,0,"P"
543734,12,7,2,10,1,"P"
543742,8,3,27,4,0,"1B"
543746,15,0,1,3,0,"P"
543750,0,0,0,0,0,""
543760,87,87,134,268,8,"SS"
543766,39,0,3,4,0,"P"
543768,93,78,172,144,12,"3B"
543776,30,26,50,3,0,"CF"
543779,35,0,0,4,0,"P"
543788,0,0,0,0,0,"C"
543803,0,0,0,0,0,"P"
543807,82,82,174,9,1,"RF"
543829,21,20,48,54,2,"2B"
543833,0,0,0,0,0,""
543853,0,0,0,0,0,"P"
543856,0,0,0,0,0,""
543859,38,0,0,5,0,"P"
543860,0,0,0,0,0,""
543867,0,0,0,0,0,""
543877,50,47,378,25,2,"C"
543881,0,0,0,0,0,"P"
543883,35,0,2,1,0,"P"
543900,1,0,0,0,0,"P"
543901,5,0,0,2,0,"P"
543921,0,0,0,0,0,"P"
543932,0,0,0,0,0,""
543935,32,0,2,5,0,"P"
543939,58,47,88,135,6,"2B"
543964,10,0,0,0,1,"P"
544150,12,6,5,8,1,"P"
544269,0,0,0,0,0,"OF"
544365,0,0,0,0,0,"P"
544369,81,78,92,212,11,"SS"
544725,0,0,0,0,0,"CF"
544727,43,0,2,8,0,"P"
544759,4,0,1,0,0,"P"
544827,0,0,0,0,0,""
544836,31,0,2,3,0,"P"
544838,0,0,0,0,0,"C"
544925,13,6,24,0,0,"CF"
544928,25,0,2,2,0,"P"
544930,0,0,0,0,0,"P"
544931,16,16,6,8,1,"P"
544993,21,0,1,1,0,"P"
545064,0,0,0,0,0,"P"
545121,0,0,0,0,0,""
545331,0,0,0,0,0,"CF"
545332,36,0,2,2,0,"P"
545333,20,13,7,9,0,"P"
545337,0,0,0,0,0,"SS"
545338,10,8,23,7,2,"LF"
545341,58,52,108,2,0,"CF"
545346,0,0,0,0,0,"P"
545350,45,34,63,2,0,"CF"
545353,0,0,0,0,0,""
545357,12,0,0,3,0,"P"
545358,2,1,7,0,0,"C"
545361,82,81,193,5,4,"CF"
545363,0,0,0,0,0,"P"
545404,0,0,0,0,0,"P"
546276,2,2,1,3,0,"P"
546318,86,85,185,7,8,"CF"
546990,0,0,0,0,0,"CF"
546991,25,13,44,1,0,"CF"
546992,0,0,0,0,0,""
547004,0,0,0,0,0,"3B"
547171,0,0,0,0,0,""
547172,38,33,249,14,7,"C"
547177,0,0,0,0,0,""
547179,5,0,3,1,0,"P"
547180,81,81,128,4,1,"RF"
547185,0,0,0,0,0,""
547379,4,4,37,4,0,"C"
547749,35,0,2,1,1,"P"
547874,18,18,6,7,0,"P"
547888,17,17,7,19,1,"P"
547912,0,0,0,0,0,"SS"
547943,1,1,0,2,0,"P"
547957,42,36,47,0,0,"LF"
547973,25,0,3,2,0,"P"
547977,0,0,0,0,0,""
547982,70,69,158,7,2,"CF"
547989,81,81,673,37,3,"1B"
548337,23,5,3,7,1,"P"
548357,9,1,0,3,0,"P"
548389,9,8,2,13,0,"P"
550298,0,0,0,0,0,"CF"
552640,0,0,0,0,0,""
552662,8,3,8,1,1,"RF"
552673,0,0,0,0,0,""
553859,0,0,0,0,0,""
553869,0,0,0,0,0,"C"
553872,0,0,0,0,0,"P"
553878,40,0,1,8,1,"P"
553882,0,0,0,0,0,"C"
553883,0,0,0,0,0,"P"
553902,0,0,0,0,0,""
553970,0,0,0,0,0,"P"
553988,0,0,0,0,0,"SS"
553993,83,81,62,144,14,"3B"
554054,0,0,0,0,0,"C"
554234,9,9,5,7,0,"P"
554241,0,0,0,0,0,""
554340,9,0,0,2,0,"P"
554429,23,16,89,8,0,"RF"
554430,0,0,0,0,0,"P"
554431,0,0,0,0,0,"P"
570240,0,0,0,0,0,"P"
570256,79,72,156,6,2,"RF"
570267,36,32,55,1,1,"RF"
570481,0,0,0,0,0,"SS"
570482,0,0,0,0,0,"3B"
570489,3,2,7,5,0,"CF"
570557,0,0,0,0,0,""
570560,9,5,8,14,1,"2B"
570615,23,22,32,4,3,"RF"
570616,0,0,0,0,0,""
570632,16,0,1,6,1,"P"
570639,0,0,0,0,0,"SS"
570649,17,17,4,14,1,"P"
570663,37,0,2,2,0,"P"
570666,6,0,0,1,0,"P"
570714,7,7,4,11,0,"P"
570717,68,52,108,2,1,"CF"
570731,85,85,138,241,5,"2B"
570799,0,0,0,0,0,"3B"
570810,0,0,0,0,0,"P"
570883,0,0,0,0,0,""
571035,3,0,0,1,0,"P"
571057,0,0,0,0,0,"P"
571074,0,0,0,0,0,""
571431,55,44,399,42,6,"1B"
571437,0,0,0,0,0,"RF"
571439,0,0,0,0,0,"P"
571446,0,0,0,0,0,"P"
571448,85,85,53,199,1,"3B"
571466,58,57,404,40,5,"C"
571467,0,0,0,0,0,"C"
571473,0,0,0,0,0,"P"
571476,6,0,1,0,0,"P"
571479,0,0,0,0,0,"P"
571506,62,60,417,24,3,"1B"
571510,6,5,0,2,1,"P"
571527,0,0,0,0,0,"P"
571539,0,0,0,0,0,"P"
571553,2,1,2,0,1,"LF"
571561,40,0,1,8,1,"P"
571572,1,0,0,0,0,"P"
571577,0,0,0,0,0,"P"
571578,18,18,3,15,1,"P"
571584,23,0,0,3,1,"P"
571595,0,0,0,0,0,""
571602,0,0,0,0,0,"DH"
571622,0,0,0,0,0,""
571639,0,0,0,0,0,""
571656,10,0,2,2,0,"P"
571657,0,0,0,0,0,"C"
571665,0,0,0,0,0,"LF"
571666,17,16,6,3,1,"P"
571670,1,0,0,0,0,"P"
571681,12,12,23,1,1,"RF"
571685,0,0,0,0,0,"LF"
571687,0,0,0,0,0,"P"
571697,62,60,100,171,4,"2B"
571704,41,0,0,3,0,"P"
571710,33,0,0,7,0,"P"
571711,0,0,0,0,0,""
571713,0,0,0,0,0,""
571718,0,0,0,0,0,"RF"
571719,0,0,0,0,0,""
571734,0,0,0,0,0,""
571735,2,0,0,0,0,"P"
571740,69,63,158,6,2,"CF"
571757,49,22,51,0,3,"LF"
571760,1,1,0,0,0,"P"
571761,0,0,0,0,0,"CF"
571771,48,26,45,9,0,"LF"
571786,0,0,0,0,0,"P"
571788,47,35,73,12,2,"LF"
571800,3,2,0,0,0,"P"
571812,0,0,0,0,0,"1B"
571825,0,0,0,0,0,"CF"
571830,38,35,266,12,3,"1B"
571841,7,5,4,9,0,"3B"
571851,0,0,0,0,0,"C"
571857,0,0,0,0,0,""
571863,0,0,0,0,0,"P"
571868,0,0,0,0,0,"1B"
571871,27,0,3,5,1,"P"
571875,78,70,46,144,13,"3B"
571882,32,0,2,3,0,"P"
571893,37,0,3,4,0,"P"
571896,0,0,0,0,0,""
571901,9,0,0,2,0,"P"
571911,0,0,0,0,0,"P"
571912,0,0,0,0,0,"C"
571917,0,0,0,0,0,""
571918,3,1,0,4,0,"2B"
571927,15,15,2,19,1,"P"
571946,15,14,6,3,0,"P"
571951,0,0,0,0,0,"P"
571963,7,0,0,3,0,"P"
571969,3,0,0,0,0,"P"
571970,12,11,25,4,1,"2B"
571974,11,11,93,3,1,"C"
571975,0,0,0,0,0,""
571976,87,82,694,38,0,"1B"
571980,56,43,93,1,1,"CF"
572000,0,0,0,0,0,"C"
572008,56,50,86,23,3,"SS"
572019,21,14,95,5,0,"1B"
572020,8,8,0,7,1,"P"
572021,0,0,0,0,0,"P"
572033,26,23,164,13,0,"C"
572038,1,0,0,0,0,"P"
572039,81,77,167,3,3,"RF"
572041,0,0,0,0,0,"CF"
572044,2,0,0,0,0,"P"
572066,0,0,0,0,0,"P"
572070,6,6,0,5,2,"P"
572073,86,58,116,6,0,"RF"
572086,0,0,0,0,0,"P"
572088,0,0,0,0,0,""
572089,0,0,0,0,0,"P"
572095,0,0,0,0,0,""
572096,36,0,0,3,0,"P"
572102,6,0,1,3,0,"P"
572114,16,16,14,53,1,"2B"
572119,2,0,0,1,0,"P"
572122,84,84,60,180,10,"3B"
572125,0,0,0,0,0,""
572127,0,0,0,0,0,""
572128,0,0,0,0,0,"1B"
572138,0,0,0,0,0,"1B"
572140,0,0,0,0,0,"P"
572166,0,0,0,0,0,""
572175,0,0,0,0,0,"P"
572180,0,0,0,0,0,"C"
572182,0,0,0,0,0,"2B"
572191,58,41,110,3,1,"CF"
572193,5,0,0,0,0,"P"
572204,82,60,96,2,2,"CF"
572208,5,0,0,0,1,"P"
572233,0,0,0,0,0,"LF"
572241,0,0,0,0,0,""
572283,0,0,0,0,0,"P"
572287,2,2,6,2,0,"C"
572308,0,0,0,0,0,"P"
572309,1,1,1,0,0,"P"
572362,3,2,0,1,0,"P"
572365,59,44,89,143,4,"2B"
572393,0,0,0,0,0,""
572403,19,0,0,4,0,"P"
572669,0,0,0,0,0,"CF"
572718,0,0,0,0,0,"P"
572728,0,0,0,0,0,""
572744,0,0,0,0,0,"P"
572750,12,9,3,4,2,"P"
572761,86,76,99,158,11,"3B"
572788,6,1,0,0,0,"P"
572804,0,0,0,0,0,"1B"
572816,33,28,55,1,0,"LF"
572821,78,78,151,202,4,"2B"
572831,0,0,0,0,0,"P"
572863,19,17,123,11,1,"C"
572876,0,0,0,0,0,"1B"
572888,21,3,1,0,0,"P"
572910,0,0,0,0,0,"RF"
572955,0,0,0,0,0,"P"
572958,0,0,0,0,0,"P"
572971,18,18,4,20,0,"P"
572990,2,0,0,0,0,"P"
573016,0,0,0,0,0,"P"
573046,35,0,3,7,0,"P"
573064,30,1,2,3,0,"P"
573069,0,0,0,0,0,""
573109,37,0,3,2,0,"P"
573124,23,0,1,5,2,"P"
573127,0,0,0,0,0,"P"
573131,21,12,69,4,1,"1B"
573135,37,30,31,91,4,"2B"
573158,0,0,0,0,0,""
573185,19,16,3,9,0,"P"
573186,18,18,6,17,0,"P"
573188,15,0,2,2,0,"P"
573244,0,0,0,0,0,"P"
573349,0,0,0,0,0,"SS"
573589,7,0,1,0,1,"P"
573627,3,3,20,3,0,"1B"
573668,0,0,0,0,0,"P"
574831,0,0,0,0,0,"RF"
574847,0,0,0,0,0,"1B"
574888,0,0,0,0,0,""
575929,24,18,95,7,0,"C"
576397,49,34,98,100,4,"2B"
576788,0,0,0,0,0,"C"
578428,80,77,106,248,3,"SS"
578570,0,0,0,0,0,"3B"
580792,19,0,1,2,0,"P"
581527,35,32,46,95,0,"2B"
582473,0,0,0,0,0,""
584176,0,0,0,0,0,""
588751,83,73,103,194,5,"SS"
591688,0,0,0,0,0,""
591693,8,0,0,0,0,"P"
591712,0,0,0,0,0,"C"
591720,28,19,12,49,2,"3B"
591994,0,0,0,0,0,"RF"
592091,12,0,1,3,0,"P"
592102,36,0,3,4,0,"P"
592108,0,0,0,0,0,""
592127,12,0,0,0,1,"P"
592135,36,0,0,2,1,"P"
592144,0,0,0,0,0,"OF"
592145,0,0,0,0,0,"P"
592165,0,0,0,0,0,"P"
592166,0,0,0,0,0,"2B"
592169,0,0,0,0,0,"P"
592170,0,0,0,0,0,"P"
592178,114,84,99,90,7,"3B"
592181,0,0,0,0,0,"P"
592192,14,8,40,8,1,"1B"
592200,58,48,416,27,3,"C"
592205,0,0,0,0,0,""
592206,81,81,55,149,5,"3B"
592222,13,0,1,2,0,"P"
592230,4,1,5,2,0,"3B"
592231,0,0,0,0,0,"2B"
592239,8,3,8,1,0,"CF"
592244,0,0,0,0,0,"P"
592254,0,0,0,0,0,"P"
592256,0,0,0,0,0,""
592259,0,0,0,0,0,""
592261,29,28,69,1,2,"CF"
592273,69,56,84,29,3,"LF"
592274,1,0,0,1,0,"3B"
592301,0,0,0,0,0,""
592310,0,0,0,0,0,""
592314,8,8,2,7,0,"P"
592325,5,2,3,0,0,"RF"
592329,0,0,0,0,0,"P"
592332,15,15,2,8,2,"P"
592336,0,0,0,0,0,""
592340,11,0,0,2,1,"P"
592341,7,0,0,1,0,"P"
592346,3,3,0,1,0,"P"
592351,15,15,6,3,0,"P"
592390,23,0,1,6,0,"P"
592398,0,0,0,0,0,"P"
592407,29,25,144,9,0,"C"
592419,12,6,9,1,1,"CF"
592426,8,0,0,1,0,"P"
592429,0,0,0,0,0,""
592433,5,1,0,5,0,"P"
592438,0,0,0,0,0,"P"
592444,0,0,0,0,0,"3B"
592450,0,0,0,0,0,"RF"
592454,5,0,1,2,0,"P"
592468,0,0,0,0,0,"P"
592511,0,0,0,0,0,""
592518,83,81,104,219,7,"3B"
592527,0,0,0,0,0,"P"
592533,2,0,0,0,0,"P"
592535,0,0,0,0,0,""
592547,0,0,0,0,0,""
592558,0,0,0,0,0,""
592567,5,5,3,11,1,"3B"
592570,0,0,0,0,0,"P"
592592,10,10,83,4,0,"C"
592593,12,12,3,11,1,"P"
592594,0,0,0,0,0,""
592596,0,0,0,0,0,"CF"
592604,0,0,0,0,0,"C"
592612,42,0,2,5,1,"P"
592614,2,2,0,1,0,"P"
592620,31,23,46,1,0,"RF"
592626,70,63,140,2,1,"CF"
592629,0,0,0,0,0,""
592644,0,0,0,0,0,"P"
592647,0,0,0,0,0,"DH"
592660,0,0,0,0,0,"1B"
592662,17,17,2,8,1,"P"
592663,69,66,558,44,7,"C"
592665,42,0,0,2,0,"P"
592669,0,0,0,0,0,"RF"
592677,0,0,0,0,0,"P"
592680,17,12,26,39,3,"3B"
592685,0,0,0,0,0,"RF"
592696,40,33,72,2,2,"LF"
592698,0,0,0,0,0,""
592700,0,0,0,0,0,""
592705,0,0,0,0,0,"P"
592710,23,12,8,27,2,"3B"
592712,0,0,0,0,0,"P"
592716,1,1,1,1,0,"P"
592717,17,17,10,20,2,"P"
592731,3,1,5,0,0,"RF"
592741,21,0,1,3,0,"P"
592743,53,53,101,147,7,"SS"
592767,17,17,4,15,1,"P"
592773,0,0,0,0,0,"P"
592779,1,1,0,0,0,"P"
592781,0,0,0,0,0,"P"
592787,0,0,0,0,0,""
592789,18,17,5,11,3,"P"
592791,5,5,2,3,0,"P"
592804,35,0,2,2,0,"P"
592808,1,1,3,0,0,"LF"
592811,15,1,0,4,0,"P"
592815,3,0,0,0,0,"P"
592826,15,15,1,7,1,"P"
592835,4,2,4,0,0,"RF"
592836,16,16,5,9,1,"P"
592848,0,0,0,0,0,""
592863,0,0,0,0,0,"RF"
592866,0,0,0,0,0,"P"
592869,16,13,4,8,3,"P"
592879,0,0,0,0,0,"P"
592881,0,0,0,0,0,""
592885,75,75,121,3,3,"LF"
592895,0,0,0,0,0,""
593137,0,0,0,0,0,""
593140,24,0,0,3,0,"P"
593160,48,42,53,101,2,"2B"
593334,0,0,0,0,0,"P"
593340,0,0,0,0,0,"P"
593372,16,16,17,10,1,"P"
593417,0,0,0,0,0,"P"
593423,0,0,0,0,0,"P"
593427,0,0,0,0,0,""
593428,83,83,101,190,8,"SS"
593449,0,0,0,0,0,""
593495,42,27,34,81,0,"SS"
593523,18,9,9,21,2,"2B"
593525,0,0,0,0,0,"SS"
593527,0,0,0,0,0,"SS"
593528,0,0,0,0,0,"RF"
593576,45,0,5,2,0,"P"
593582,0,0,0,0,0,"P"
593634,0,0,0,0,0,""
593643,18,10,31,41,1,"3B"
593647,15,9,18,0,1,"CF"
593679,0,0,0,0,0,"P"
593700,0,0,0,0,0,"2B"
593833,0,0,0,0,0,""
593871,6,6,7,20,0,"SS"
593934,49,48,82,20,6,"3B"
593958,6,6,0,2,0,"P"
593969,1,0,0,0,0,"P"
594011,0,0,0,0,0,"OF"
594027,1,0,0,0,0,"P"
594056,0,0,0,0,0,"P"
594311,0,0,0,0,0,"P"
594555,0,0,0,0,0,"1B"
594576,0,0,0,0,0,"CF"
594580,0,0,0,0,0,"P"
594694,0,0,0,0,0,"2B"
594736,9,8,4,3,1,"P"
594742,0,0,0,0,0,"P"
594760,11,11,4,6,1,"P"
594772,0,0,0,0,0,"P"
594777,85,85,160,5,4,"RF"
594798,15,15,12,14,1,"P"
594807,83,77,192,12,2,"LF"
594809,92,84,234,13,1,"RF"
594815,0,0,0,0,0,"P"
594824,29,16,13,51,3,"3B"
594828,19,17,169,18,1,"C"
594835,0,0,0,0,0,"P"
594838,31,21,48,42,0,"2B"
594840,0,0,0,0,0,"P"
594857,4,0,0,1,0,"P"
594867,0,0,0,0,0,"P"
594940,0,0,0,0,0,"3B"
594943,8,1,1,3,0,"P"
594951,8,0,0,1,0,"P"
594965,0,0,0,0,0,""
594985,0,0,0,0,0,"P"
594986,30,0,2,3,1,"P"
594988,18,14,30,0,2,"RF"
595001,14,0,1,0,0,"P"
595005,0,0,0,0,0,"LF"
595014,39,0,0,7,1,"P"
595023,14,9,7,17,1,"3B"
595025,0,0,0,0,0,"LF"
595032,0,0,0,0,0,"P"
595191,17,17,10,17,1,"P"
595222,0,0,0,0,0,""
595235,2,0,0,0,0,"P"
595281,38,37,89,0,1,"CF"
595284,0,0,0,0,0,"C"
595296,0,0,0,0,0,"P"
595297,0,0,0,0,0,"P"
595307,17,0,0,3,1,"P"
595345,7,0,0,0,0,"P"
595373,0,0,0,0,0,""
595375,0,0,0,0,0,"SS"
595386,7,3,21,1,0,"1B"
595426,0,0,0,0,0,""
595441,0,0,0,0,0,"P"
595453,0,0,0,0,0,""
595465,3,0,0,0,0,"P"
595751,0,0,0,0,0,"C"
595777,32,27,99,53,4,"3B"
595879,77,46,74,118,7,"3B"
595881,0,0,0,0,0,""
595885,0,0,0,0,0,"1B"
595897,0,0,0,0,0,""
595909,0,0,0,0,0,"OF"
595918,0,0,0,0,0,"P"
595939,0,0,0,0,0,""
595956,0,0,0,0,0,"C"
595963,55,40,66,4,3,"LF"
595978,0,0,0,0,0,"C"
596018,0,0,0,0,0,""
596019,85,83,127,265,5,"SS"
596023,0,0,0,0,0,""
596043,6,6,2,4,0,"P"
596048,0,0,0,0,0,""
596049,1,0,1,0,0,"P"
596057,4,3,0,0,0,"P"
596059,78,76,163,238,10,"2B"
596064,3,3,0,0,0,"P"
596082,0,0,0,0,0,""
596105,0,0,0,0,0,""
596112,2,2,0,1,0,"P"
596115,78,77,99,236,9,"SS"
596119,19,19,89,4,0,"LF"
596129,0,0,0,0,0,"1B"
596133,0,0,0,0,0,"P"
596142,0,0,0,0,0,"C"
596143,23,17,20,37,2,"SS"
596144,54,53,31,92,3,"3B"
596146,45,35,81,4,2,"RF"
596295,0,0,0,0,0,""
596331,3,0,2,0,0,"P"
596451,0,0,0,0,0,"LF"
596748,81,81,39,134,6,"3B"
596847,7,4,17,2,0,"1B"
598264,34,0,1,5,0,"P"
598265,81,81,190,8,2,"CF"
598271,0,0,0,0,0,"P"
598284,16,13,17,1,1,"LF"
598287,11,0,0,1,0,"P"
599096,0,0,0,0,0,"2B"
599683,5,0,0,2,0,"P"
599998,4,0,1,1,0,"P"
600301,34,21,30,46,2,"SS"
600303,24,17,8,24,4,"3B"
600474,1,1,8,1,0,"C"
600524,0,0,0,0,0,"DH"
600526,0,0,0,0,0,"P"
600869,3,2,1,3,1,"3B"
600915,0,0,0,0,0,"P"
600917,1,0,0,1,0,"P"
600944,0,0,0,0,0,"P"
600968,0,0,0,0,0,"P"
602083,0,0,0,0,0,"P"
602115,0,0,0,0,0,"OF"
602922,0,0,0,0,0,"SS"
602925,0,0,0,0,0,""
605113,80,72,100,241,9,"SS"
605125,31,29,60,3,0,"LF"
605131,8,5,27,8,0,"C"
605135,5,5,1,0,0,"P"
605137,0,0,0,0,0,"1B"
605141,84,84,172,7,1,"RF"
605143,0,0,0,0,0,"P"
605148,0,0,0,0,0,""
605151,10,10,2,4,0,"P"
605152,0,0,0,0,0,"P"
605156,0,0,0,0,0,"P"
605164,22,0,2,1,0,"P"
605169,0,0,0,0,0,"P"
605177,32,0,1,3,0,"P"
605182,4,3,2,1,0,"P"
605183,8,5,10,0,0,"RF"
605194,0,0,0,0,0,"P"
605195,0,0,0,0,0,"P"
605200,15,15,5,9,2,"P"
605204,0,0,0,0,0,""
605205,0,0,0,0,0,""
605218,8,0,0,0,0,"P"
605222,0,0,0,0,0,"P"
605226,8,0,0,0,0,"P"
605227,0,0,0,0,0,"2B"
605228,17,17,4,10,0,"P"
605231,0,0,0,0,0,""
605232,18,18,5,10,1,"P"
605233,0,0,0,0,0,""
605242,13,13,10,6,0,"P"
605244,0,0,0,0,0,""
605253,1,0,2,0,0,"DH"
605260,0,0,0,0,0,"P"
605288,0,0,0,0,0,"P"
605301,0,0,0,0,0,"P"
605304,6,6,3,2,0,"P"
605309,7,0,0,1,0,"P"
605317,0,0,0,0,0,"P"
605323,0,0,0,0,0,"3B"
605327,0,0,0,0,0,""
605333,0,0,0,0,0,"P"
605338,0,0,0,0,0,"P"
605342,0,0,0,0,0,"P"
605347,0,0,0,0,0,"P"
605357,0,0,0,0,0,""
605359,12,0,0,3,0,"P"
605374,0,0,0,0,0,"P"
605384,0,0,0,0,0,""
605388,14,12,4,12,2,"P"
605390,0,0,0,0,0,""
605396,17,0,2,2,0,"P"
605397,0,0,0,0,0,"P"
605400,17,17,6,17,1,"P"
605412,70,66,121,210,5,"2B"
605439,0,0,0,0,0,"CF"
605452,16,16,4,12,1,"P"
605474,0,0,0,0,0,"1B"
