Role,fullname,Date,POS,Team,MLBId,Fielding.Petition
SP5,Hyun-Jin Ryu,2017-04-05,SP,STL,547943,NO
CLOSER,Sammy Solis,NA,RP,STL,519301,NO
RP1,Brett Cecil,NA,RP,STL,446399,NO
RP2,Dustin McGowan,NA,RP,STL,430661,NO
RP3,Kevin Siegrist,NA,RP,STL,543779,NO
RP4,Miguel Socolovich,NA,RP,STL,462515,NO
RP5,Seung-hwan Oh,NA,RP,STL,493200,NO
RP6,Matt Bowman,NA,RP,STL,621199,
#1,Matt Carpenter,NA,1B,STL,572761,NO
#2,Gerardo Parra,NA,LF,STL,467827,NO
#3,Brian Dozier,NA,2B,STL,572821,NO
#4,Randal Grichuk,NA,CF,STL,545341,NO
#5,Stephen Piscotty,NA,RF,STL,572039,NO
#6,Eduardo Nunez,NA,3B,STL,456488,NO
#7,Yadier Molina,NA,CA,STL,425877,NO
#8,Zack Cozart,NA,SS,STL,446359,NO
#9,Lance Lynn,NA,P,STL,458681,NO
Bench,Greg Garcia,NA,2B,STL,594824,NO
Bench,Jedd Gyorko,NA,3B,STL,576397,NO
Bench,Byung-ho Park,NA,1B,STL,666560,NO
Bench,Josh Reddick,NA,LF,STL,502210,NO
Bench,Chris Stewart,NA,CA,STL,455755,NO
SP1,Zack Greinke,2017-04-04,SP,ARI,425844,NO
SP2,Shelby Miller,2017-04-08,SP,ARI,571946,NO
SP3,Robbie Ray,2017-04-07,SP,ARI,592662,NO
SP4,Patrick Corbin,2017-04-05,SP,ARI,571578,NO
SP5,Archie Bradley,2017-04-05,SP,ARI,605151,NO
CLOSER,Fernando Rodney,NA,RP,ARI,407845,NO
RP1,Tyler Clippard,NA,RP,ARI,461325,NO
RP2,Fernando Salas,NA,RP,ARI,477569,NO
RP3,Andrew Chafin,NA,RP,ARI,605177,NO
RP4,Michael Feliz,NA,RP,ARI,593140,NO
RP5,Liam Hendriks,NA,RP,ARI,521230,NO
RP6,Randall Delgado,NA,RP,ARI,517414,NO
#1,Cameron Maybin,NA,LF,ARI,457727,NO
#2,A.J. Pollock,NA,CF,ARI,572041,NO
#3,Paul Goldschmidt,NA,1B,ARI,502671,NO
#4,Jake Lamb,NA,3B,ARI,571875,NO
#5,Welington Castillo,NA,CA,ARI,456078,NO
#6,David Peralta,NA,RF,ARI,444482,NO
#7,Brandon Drury,NA,2B,ARI,592273,NO
#8,Chris Owings,NA,SS,ARI,572008,NO
#9,Robbie Ray,NA,P,ARI,592662,NO
Bench,Jeff Mathis,NA,LF,ARI,425772,NO
Bench,Nick Ahmed,NA,CA,ARI,605113,NO
Bench,Mitch Haniger,NA,CA,ARI,571745,NO
Bench,Chris Herrmann,NA,SS,ARI,543302,NO
SP1,Jon Lester,2017-04-04,SP,CHN,452657,NO
SP2,Gerrit Cole,2017-04-07,SP,CHN,543037,NO
SP3,Kyle Hendricks,2017-04-05,SP,CHN,543294,NO
SP4,Edinson Volquez,2017-04-08,SP,CHN,450172,NO
SP5,Kendall Graveman,2017-04-05,SP,CHN,608665,NO
CLOSER,Cody Allen,NA,RP,CHN,592102,NO
RP1,Mike Montgomery,NA,RP,CHN,543557,NO
RP2,David Phelps,NA,RP,CHN,475479,NO
RP3,Edubray Ramos,NA,RP,CHN,591693,NO
RP4,Hector Rondon,NA,RP,CHN,444468,NO
RP5,Marc Rzepczynski,NA,RP,CHN,519240,NO
RP6,A.J. Schugel,NA,RP,CHN,519263,NO
RP7,Pedro Strop,NA,RP,CHN,467008,NO
#1,Ben Zobrist,NA,RF,CHN,450314,NO
#2,Kris Bryant,NA,LF,CHN,592178,NO
#3,Anthony Rizzo,NA,1B,CHN,519203,NO
#4,Dexter Fowler,NA,CF,CHN,451594,NO
#5,Addison Russell,NA,SS,CHN,608365,NO
#6,Stephen Vogt,NA,CA,CHN,519390,NO
#7,Jean Segura,NA,2B,CHN,516416,NO
#8,Ronald Torreyes,NA,3B,CHN,591720,NO
#9,Gerrit Cole,NA,P,CHN,543037,NO
Bench,Austin Barnes,NA,CA,CHN,608627,NO
Bench,A.J. Ellis,NA,CA,CHN,454560,NO
Bench,Matt Szczur,NA,LF,CHN,519333,NO
Bench,Albert Almora,NA,SS,CHN,546991,NO
SP1,Dallas Keuchel,2017-04-04,SP,HOU,572971,NO
SP2,Chris Sale,2017-04-07,SP,HOU,519242,NO
SP3,Lance McCullers,2017-04-08,SP,HOU,621121,NO
SP4,Adam Conley,2017-04-05,SP,HOU,543045,NO
SP5,A.J. Griffin,2017-04-05,SP,HOU,456167,NO
CLOSER,Ken Giles,NA,RP,HOU,571704,NO
RP1,Will Harris,NA,RP,HOU,501789,NO
RP2,Joe Smith,NA,RP,HOU,501925,NO
RP3,Jandel Gustave,NA,RP,HOU,594311,NO
RP4,Chris Devenski,NA,RP,HOU,606965,NO
RP5,Brad Peacock,NA,RP,HOU,502748,NO
RP6,Bryan Morris,NA,RP,HOU,457768,NO
