Role,fullname,Date,POS,Team,MLBId,Fielding.Petition
CLOSER,Tony Watson,,RP,COL,453265,NO
RP1,A.J. Ramos,,RP,COL,573109,NO
RP2,Bud Norris,,RP,COL,502032,NO
RP3,German Marquez,,RP,COL,608566,NO
RP4,Jordan Lyles,,RP,COL,543475,NO
RP5,Brian Ellington,,RP,COL,623395,NO
RP6,Jorge De La Rosa,,RP,COL,407822,NO
RP7,Chase De Jong,,RP,COL,608328,NO
#1,D.J. LeMahieu,,2B,COL,518934,NO
#2,Trevor Story,,SS,COL,596115,NO
#3,Carlos Gonzalez,,RF,COL,471865,NO
#4,Ryan Zimmerman,,1B,COL,475582,NO
#5,Willson Contreras,,CA,COL,575929,NO
#6,Jose Reyes,,3B,COL,408314,NO
#7,Jayson Werth,,LF,COL,150029,NO
#8,Cristhian Adames,,SS,COL,542436,NO
#9,Eddie Butler,,P,COL,572750,NO
Bench,Mike Tauchman,,CF,COL,643565,NO
Bench,Stephen Cardullo,,1B,COL,506924,NO
Bench,Dustin Garneau,,CA,COL,572863,NO
Bench,Ben Paulsen,,1B,COL,572019,NO
SP1,Clayton Kershaw,2017-04-04,SP,LAN,477132,NO
SP2,Masahiro Tanaka,2017-04-07,SP,LAN,547888,NO
SP3,Ian Kennedy,2017-04-08,SP,LAN,453178,NO
SP4,Tom Koehler,2017-04-05,SP,LAN,543408,NO
SP5,Zach Lee,2017-04-05,SP,LAN,545346,NO
CLOSER,Andrew Miller,,RP,LAN,453192,NO
RP1,Luis Avilan,,RP,LAN,501593,NO
RP2,Koji Uehara,,RP,LAN,493157,NO
RP3,Ross Stripling,,RP,LAN,548389,NO
RP4,Grant Dayton,,RP,LAN,594795,NO
RP5,Carlos Frias,,RP,LAN,516910,NO
RP6,Travis Wood,,RP,LAN,475243,NO
#1,Joc Pederson,,CF,LAN,592626,NO
#2,Corey Seager,,SS,LAN,608369,NO
#3,Khris Davis,,LF,LAN,501981,NO
#4,Eric Hosmer,,1B,LAN,543333,NO
#5,Matt Kemp,,RF,LAN,461314,NO
#6,Yasmani Grandal,,CA,LAN,518735,NO
#7,Danny Espinosa,,3B,LAN,457787,NO
#8,Howie Kendrick,,2B,LAN,435062,NO
#9,Masahiro Tanaka,,SP,LAN,547888,NO
Bench,Shin-Soo Choo,,RF,LAN,425783,NO
Bench,Kike Hernandez,,SS,LAN,571771,NO
Bench,Mark Reynolds,,1B,LAN,448602,NO
Bench,Aaron Hicks,,LF,LAN,543305,NO
Bench,Drew Butera,,CA,LAN,460077,NO
SP1,Jeremy Hellickson,2017-04-04,SP,SD,476451,NO
SP2,Jake Odorizzi,2017-04-07,SP,SD,543606,NO
SP3,Dylan Bundy,2017-04-08,SP,SD,605164,NO
SP4,Zack Wheeler,2017-04-05,SP,SD,554430,NO
SP5,Matt Cain,2017-04-05,SP,SD,430912,NO
CLOSER,Francisco Rodriguez,,RP,SD,408061,NO
RP1,Ryan Buchter,,RP,SD,488748,NO
RP2,Brandon Maurer,,RP,SD,543506,NO
RP3,Boone Logan,,RP,SD,457429,NO
RP4,Ryan Dull,,RP,SD,623430,NO
RP5,Alex Wood,,RP,SD,622072,NO
RP6,Jose Ramirez,,RP,SD,542432,NO
#1,Marcus Semien,,SS,SD,543760,NO
#2,Yangervis Solarte,,3B,SD,500208,NO
#3,Hunter Renfroe,,RF,SD,592669,NO
#4,Paulo Orlando,,CF,SD,449181,NO
#5,Chris Davis,,1B,SD,448801,NO
#6,Logan Forsythe,,2B,SD,523253,NO
#7,Gregory Polanco,,LF,SD,570256,NO
#8,Juan Centeno,,CA,SD,518542,NO
#9,Jake Odorizzi,,P,SD,543606,NO
Bench,Ben Revere,,LF,SD,519184,NO
Bench,Alexi Amarista,,2B,SD,506560,NO
Bench,Mark Canha,,3B,SD,592192,NO
Bench,Adam Rosales,,2B,SD,489267,NO
Bench,Christian Bethancourt,,CA,SD,542194,NO
SP1,Jhoulys Chacin,2017-04-04,SP,CIN,468504,NO
SP2,Brandon Finnegan,2017-04-08,SP,CIN,605232,NO
SP3,Andrew Triggs,2017-04-05,SP,CIN,592811,NO
SP4,Rookie Davis,2017-04-05,SP,CIN,606959,NO
SP5,Amir Garrett,2017-04-05,SP,CIN,607237,NO
CLOSER,Raisel Iglesias,,RP,CIN,628452,NO
RP1,Michael Lorenzen,,RP,CIN,547179,NO
RP2,Kyle Barraclough,,RP,CIN,607457,NO
RP3,Justin Grimm,,RP,CIN,518748,NO
RP4,Tony Sipp,,RP,CIN,448609,NO
RP5,Wandy Peralta,,RP,CIN,593974,NO
RP6,Cody Reed,,RP,CIN,642003,NO
RP7,Robert Stephenson,,RP,CIN,596112,NO
#1,Cesar Hernandez,,2B,CIN,514917,NO
#2,Jose Peraza,,SS,CIN,606299,NO
#3,Joey Votto,,1B,CIN,458015,NO
#4,Adam Duvall,,LF,CIN,594807,NO
#5,Scott Schebler,,RF,CIN,594988,NO
#6,Billy Hamilton,,CF,CIN,571740,NO
#7,Eugenio Suarez,,3B,CIN,553993,NO
#8,Tucker Barnhart,,CA,CIN,571466,NO
#9,Brandon Finnegan,,P,CIN,605232,NO
Bench,Austin Hedges,,CA,CIN,595978,NO
Bench,Patrick Kivlehan,,OF,CIN,623182,NO
Bench,Steve Selsky,,RF,CIN,592731,NO
Bench,Arismendy Alcantara,,3B,CIN,570489,NO
SP1,Junior Guerra,2017-04-04,SP,MIL,448855,NO
SP2,Zach Davies,2017-04-07,SP,MIL,605200,NO
SP3,Wily Peralta,2017-04-08,SP,MIL,503449,NO
SP4,Jimmy Nelson,2017-04-05,SP,MIL,519076,NO
SP5,Chase Anderson,2017-04-05,SP,MIL,502624,NO
CLOSER,Carlos Torres,,RP,MIL,448614,NO
RP1,Jacob Barnes,,RP,MIL,606930,NO
RP2,Jeremy Jeffress,,RP,MIL,502026,NO
RP3,Miguel Diaz,,RP,MIL,622766,NO
RP4,Taylor Jungmann,,RP,MIL,543380,NO
RP5,Brent Suter,,RP,MIL,608718,NO
RP6,Tyler Cravy,,RP,MIL,572788,NO
#1,Jonathan Villar,,2B,MIL,542340,NO
#2,Keon Broxton,,CF,MIL,542979,NO
#3,Ryan Braun,,LF,MIL,460075,NO
#4,Domingo Santana,,RF,MIL,570267,NO
#5,Chris Carter,,1B,MIL,474892,NO
#6,Hernan Perez,,3B,MIL,541650,NO
#7,Orlando Arcia,,SS,MIL,606115,NO
#8,Martin Maldonado,,CA,MIL,455117,NO
#9,Zach Davies,,P,MIL,605200,NO
Bench,Kirk Nieuwenhuis,,CF,MIL,543590,NO
Bench,Scooter Gennett,,2B,MIL,571697,NO
Bench,Rymer Liriano,,RF,MIL,542642,NO
Bench,Yadiel Rivera,,2B,MIL,592680,NO
Bench,Blake Swihart,,CA,MIL,596119,NO
SP1,Jameson Taillon,2017-04-04,SP,PIT,592791,NO
SP2,Alex Cobb,2017-04-07,SP,PIT,502171,NO
SP3,Ivan Nova,2017-04-05,SP,PIT,467100,NO
SP4,Derek Holland,2017-04-08,SP,PIT,502706,NO
SP5,Tyler Glasnow,2017-04-05,SP,PIT,607192,NO
CLOSER,Kelvin Herrera,,RP,PIT,516969,NO
RP1,Luke Gregerson,,RP,PIT,502381,NO
RP2,Dan Altavilla,,RP,PIT,656186,NO
RP3,Chris Young,,RP,PIT,432934,NO
RP4,Trevor Williams,,RP,PIT,592866,NO
RP5,J.J. Hoover,,RP,PIT,543331,NO
RP6,Austin Pruitt,,RP,PIT,643493,NO
#1,Rajai Davis,,CF,PIT,434658,NO
#2,Adam Frazier,,LF,PIT,624428,NO
#3,Melky Cabrera,,DH,PIT,466320,NO
#4,Josh Bell,,1B,PIT,605137,NO
#5,Michael Saunders,,RF,PIT,459431,NO
#6,David Freese,,3B,PIT,501896,NO
#7,Josh Harrison,,2B,PIT,543281,NO
#8,Derek Norris,,CA,PIT,519083,NO
#9,Jordy Mercer,,SS,PIT,474568,NO
Bench,Mitch Moreland,,1B,PIT,519048,NO
Bench,Alen Hanson,,2B,PIT,593700,NO
Bench,Jon Jay,,CF,PIT,445055,NO
Bench,Carlos Ruiz,,CA,PIT,434563,NO
SP1,Jharel Cotton,2017-04-04,SP,ATL,605194,NO
SP2,Taijuan Walker,2017-04-08,SP,ATL,592836,NO
SP3,Mike Foltynewicz,2017-04-05,SP,ATL,592314,NO
SP4,Clay Buchholz,2017-04-05,SP,ATL,453329,NO
SP5,Aaron Blair,2017-04-05,SP,ATL,594760,NO
CLOSER,Wade Davis,,RP,ATL,451584,NO
RP1,Brad Hand,,RP,ATL,543272,NO
RP2,Pat Neshek,,RP,ATL,450212,NO
RP3,Arodys Vizcaino,,RP,ATL,527055,NO
RP4,Mauricio Cabrera,,RP,ATL,606291,NO
RP5,Jared Hughes,,RP,ATL,453172,NO
RP6,Ian Krol,,RP,ATL,571871,NO
#1,Dansby Swanson,,SS,ATL,621020,NO
#2,Lorenzo Cain,,CF,ATL,456715,NO
#3,Ryan Schimpf,,2B,ATL,572114,NO
#4,Freddie Freeman,,1B,ATL,518692,NO
#5,Marcell Ozuna,,CF,ATL,542303,NO
#6,Mike Moustakas,,3B,ATL,519058,NO
#7,Nick Markakis,,RF,ATL,455976,NO
#8,Taijuan Walker,,P,ATL,592836,NO
#9,Taijuan Walker,2017-04-07,SP,ATL,592836,NO
Bench,Nori Aoki,,LF,ATL,493114,NO
Bench,Jace Peterson,,2B,ATL,607054,NO
Bench,Tomas Telis,,CA,ATL,542513,NO
Bench,Aaron Hill,,2B,ATL,431094,NO
Bench,Angel Pagan,,CF,ATL,434636,NO
SP1,Justin Verlander,2017-04-04,SP,MIA,434378,NO
SP2,Jake Arrieta,2017-04-08,SP,MIA,453562,NO
SP3,Julio Teheran,2017-04-05,SP,MIA,527054,NO
SP4,John Lackey,2017-04-05,SP,MIA,407793,NO
SP5,Wei-Yin Chen,2017-04-05,SP,MIA,612672,NO
CLOSER,Aroldis Chapman,,RP,MIA,547973,NO
RP1,Kenley Jansen,,RP,MIA,445276,NO
RP2,Derek Law,,RP,MIA,571882,NO
RP3,Jose Urena,,RP,MIA,570632,NO
RP4,Carlos Estevez,,RP,MIA,608032,NO
RP5,Yusmeiro Petit,,RP,MIA,433589,NO
RP6,Kevin Quackenbush,,RP,MIA,534812,NO
#1,Dee Gordon,,2B,MIA,543829,NO
#2,Starling Marte,,CF,MIA,516782,NO
#3,Christian Yelich,,LF,MIA,592885,NO
#4,Carlos Correa,,SS,MIA,621043,NO
#5,Giancarlo Stanton,,RF,MIA,519317,NO
#6,Nick Castellanos,,3B,MIA,592206,NO
#7,Gary Sanchez,,CA,MIA,596142,NO
#8,Justin Bour,,1B,MIA,571506,NO
#9,Jake Arrieta,,SP,MIA,453562,NO
Bench,Derek Dietrich,,2B,MIA,518618,NO
Bench,James McCann,,CA,MIA,543510,NO
Bench,Miguel Rojas,,SS,MIA,500743,NO
Bench,Dixon Machado,,SS,MIA,553988,NO
Bench,Tony Wolters,,CA,MIA,547172,NO
SP1,Noah Syndergaard,2017-04-04,SP,NYN,592789,NO
SP2,Jacob deGrom,2017-04-08,SP,NYN,594798,NO
SP3,Matt Harvey,2017-04-05,SP,NYN,518774,NO
SP4,Robert Gsellman,2017-04-05,SP,NYN,607229,NO
CLOSER,Addison Reed,,RP,NYN,592665,NO
RP1,Hunter Strickland,,RP,NYN,519326,NO
RP2,Jerry Blevins,,RP,NYN,460283,NO
RP3,Antonio Bastardo,,RP,NYN,455374,NO
RP4,Jose Torres,,RP,NYN,600526,NO
RP5,Rafael Montero,,RP,NYN,606160,NO
RP6,Josh Edgin,,RP,NYN,572831,NO
RP7,Sean Gilmartin,,RP,NYN,543219,NO
#1,Asdrubal Cabrera,,SS,NYN,452678,NO
#2,Travis d'Arnaud,,CA,NYN,518595,NO
#3,Lucas Duda,,1B,NYN,446263,NO
#4,Seth Smith,,RF,NYN,452234,NO
#5,Yonder Alonso,,3B,NYN,475174,NO
#6,Curtis Granderson,,CF,NYN,434158,NO
#7,Yasmany Tomas,,LF,NYN,630111,NO
#8,Neil Walker,,2B,NYN,435522,NO
#9,Jacob deGrom,,SP,NYN,594798,NO
Bench,Ichiro Suzuki,,RF,NYN,400085,NO
Bench,Geovany Soto,,CA,NYN,434567,NO
Bench,Michael Conforto,,LF,NYN,624424,NO
Bench,Matt Reynolds,,SS,NYN,608703,NO
Bench,Wilmer Flores,,SS,NYN,527038,NO
SP1,Aaron Nola,2017-04-04,SP,PHI,605400,NO
SP2,Jerad Eickhoff,2017-04-07,SP,PHI,595191,NO
SP3,Vincent Velasquez,2017-04-08,SP,PHI,592826,NO
SP4,Brett Oberholtzer,2017-04-05,SP,PHI,519085,NO
SP5,Adam Morgan,,SP,PHI,605388,NO
CLOSER,Jeanmar Gomez,,RP,PHI,491646,NO
RP1,Brad Ziegler,,RP,PHI,446899,NO
RP2,Hector Neris,,RP,PHI,593576,NO
RP3,Bryan Shaw,,RP,PHI,543766,NO
RP4,Andrew Bailey,,RP,PHI,457732,NO
RP5,Dalier Hinojosa,,RP,PHI,648737,NO
RP6,Alec Asher,,RP,PHI,594742,NO
RP7,Michael Mariot,,RP,PHI,592527,NO
#1,Freddy Galvis,,SS,PHI,520471,NO
#2,Starlin Castro,,2B,PHI,516770,NO
#3,Odubel Herrera,,CF,PHI,546318,NO
#4,Maikel Franco,,3B,PHI,596748,NO
#5,Tommy Joseph,,1B,PHI,571830,NO
#6,Jason Castro,,CA,PHI,488771,NO
#7,Cody Asche,,LF,PHI,605125,NO
#8,Aaron Altherr,,RF,PHI,571437,NO
#9,Jerad Eickhoff,,SP,PHI,595191,NO
Bench,Andrew Knapp,,CA,PHI,595284,NO
Bench,Darin Ruf,,1B,PHI,573131,NO
Bench,Taylor Featherston,,2B,PHI,605227,NO
Bench,Cameron Rupp,,CA,PHI,519237,NO
SP1,Chris Archer,2017-04-04,SP,WAS,502042,NO
SP2,Tanner Roark,2017-04-07,SP,WAS,543699,NO
SP3,Max Scherzer,2017-04-05,SP,WAS,453286,NO
SP4,Adam Wainwright,2017-04-08,SP,WAS,425794,NO
SP5,Brett Anderson,2017-04-05,SP,WAS,474463,NO
CLOSER,Felipe Rivero,,RP,WAS,553878,NO
RP1,Matt Bush,,RP,WAS,456713,NO
RP2,Daniel Hudson,,RP,WAS,543339,NO
RP3,Jonathan Broxton,,RP,WAS,455009,NO
RP4,Blake Treinen,,RP,WAS,595014,NO
RP5,Tim Collins,,RP,WAS,525768,NO
RP6,Shawn Kelley,,RP,WAS,518875,NO
#1,Kyle Schwarber,,LF,WAS,656941,NO
#2,Bryce Harper,,RF,WAS,547180,NO
#3,Daniel Murphy,,1B,WAS,502517,NO
#4,Manny Machado,,3B,WAS,592518,NO
#5,Ian Kinsler,,2B,WAS,435079,NO
#6,Charlie Blackmon,,CF,WAS,453568,NO
#7,Trea Turner,,SS,WAS,607208,NO
#8,Yan Gomes,,CA,WAS,543228,NO
#9,Tanner Roark,,SP,WAS,543699,NO
Bench,Anthony Rendon,,2B,WAS,543685,NO
Bench,Stephen Drew,,SS,WAS,452220,NO
Bench,Wilmer Difo,,2B,WAS,594694,NO
Bench,Kurt Suzuki,,CA,WAS,435559,NO
Bench,Matt den Dekker,,LF,WAS,544925,NO
