"Date","Visit","Home","DH","Rain","Away_Score","Home_Score"
2017-04-22,"DET","TB",NA,NA,NA,NA
2017-04-22,"LAA","HOU",NA,NA,NA,NA
2017-04-22,"SF","KC",NA,NA,NA,NA
2017-04-22,"TEX","OAK",NA,NA,NA,NA
2017-04-22,"MIA","SEA",NA,NA,NA,NA
2017-04-22,"ARI","SD",NA,NA,NA,NA
2017-04-22,"WAS","ATL",NA,NA,NA,NA
2017-04-22,"MIL","CHN",NA,NA,NA,NA
2017-04-22,"COL","LAN",NA,NA,NA,NA
2017-04-22,"PHI","NYN",NA,NA,NA,NA
2017-04-22,"PIT","STL",NA,NA,NA,NA
2017-04-23,"BAL","CIN",NA,NA,NA,NA
2017-04-23,"BOS","TOR",NA,NA,NA,NA
2017-04-23,"CLE","MIN",NA,NA,NA,NA
2017-04-23,"DET","TB",NA,NA,NA,NA
2017-04-23,"LAA","HOU",NA,NA,NA,NA
2017-04-23,"KC","TEX",NA,NA,NA,NA
2017-04-23,"SEA","OAK",NA,NA,NA,NA
2017-04-23,"ARI","SD",NA,NA,NA,NA
2017-04-23,"WAS","ATL",NA,NA,NA,NA
2017-04-23,"STL","MIL",NA,NA,NA,NA
2017-04-23,"PHI","NYN",NA,NA,NA,NA
2017-04-24,"BOS","BAL",NA,NA,NA,NA
2017-04-24,"CLE","CHA",NA,NA,NA,NA
2017-04-24,"DET","MIN",NA,NA,NA,NA
2017-04-24,"HOU","TB",NA,NA,NA,NA
2017-04-24,"KC","TEX",NA,NA,NA,NA
2017-04-24,"TOR","LAA",NA,NA,NA,NA
2017-04-24,"NYA","PIT",NA,NA,NA,NA
2017-04-24,"SEA","OAK",NA,NA,NA,NA
2017-04-24,"LAN","ARI",NA,NA,NA,NA
2017-04-24,"ATL","PHI",NA,NA,NA,NA
2017-04-24,"CHN","CIN",NA,NA,NA,NA
2017-04-24,"SF","COL",NA,NA,NA,NA
2017-04-24,"MIA","SD",NA,NA,NA,NA
2017-04-24,"STL","MIL",NA,NA,NA,NA
2017-04-24,"WAS","NYN",NA,NA,NA,NA
2017-04-25,"BOS","BAL",NA,NA,NA,NA
2017-04-25,"CLE","CHA",NA,NA,NA,NA
2017-04-25,"DET","MIN",NA,NA,NA,NA
2017-04-25,"HOU","TB",NA,NA,NA,NA
2017-04-25,"KC","TEX",NA,NA,NA,NA
2017-04-25,"TOR","LAA",NA,NA,NA,NA
2017-04-25,"NYA","PIT",NA,NA,NA,NA
2017-04-25,"SEA","OAK",NA,NA,NA,NA
2017-04-25,"LAN","ARI",NA,NA,NA,NA
2017-04-25,"ATL","PHI",NA,NA,NA,NA
2017-04-25,"CHN","CIN",NA,NA,NA,NA
2017-04-25,"SF","COL",NA,NA,NA,NA
2017-04-25,"MIA","SD",NA,NA,NA,NA
2017-04-25,"STL","MIL",NA,NA,NA,NA
2017-04-25,"WAS","NYN",NA,NA,NA,NA
2017-04-26,"BOS","BAL",NA,NA,NA,NA
2017-04-26,"CLE","CHA",NA,NA,NA,NA
2017-04-26,"DET","MIN",NA,NA,NA,NA
2017-04-26,"HOU","TB",NA,NA,NA,NA
2017-04-26,"KC","TEX",NA,NA,NA,NA
2017-04-26,"TOR","LAA",NA,NA,NA,NA
2017-04-26,"NYA","PIT",NA,NA,NA,NA
2017-04-26,"SEA","OAK",NA,NA,NA,NA
2017-04-26,"LAN","ARI",NA,NA,NA,NA
2017-04-26,"ATL","PHI",NA,NA,NA,NA
2017-04-26,"CHN","CIN",NA,NA,NA,NA
2017-04-26,"SF","COL",NA,NA,NA,NA
2017-04-26,"MIA","SD",NA,NA,NA,NA
2017-04-26,"STL","MIL",NA,NA,NA,NA
2017-04-26,"WAS","NYN",NA,NA,NA,NA
2017-04-27,"TB","BAL",NA,NA,NA,NA
2017-04-27,"KC","CHA",NA,NA,NA,NA
2017-04-27,"TOR","LAA",NA,NA,NA,NA
2017-04-27,"MIN","TEX",NA,NA,NA,NA
2017-04-27,"SD","ARI",NA,NA,NA,NA
2017-04-27,"CHN","PIT",NA,NA,NA,NA
2017-04-27,"CIN","MIL",NA,NA,NA,NA
2017-04-27,"WAS","COL",NA,NA,NA,NA
2017-04-27,"LAN","SF",NA,NA,NA,NA
2017-04-28,"TB","BAL",NA,NA,NA,NA
2017-04-28,"NYA","BOS",NA,NA,NA,NA
2017-04-28,"KC","CHA",NA,NA,NA,NA
2017-04-28,"HOU","CLE",NA,NA,NA,NA
2017-04-28,"SEA","DET",NA,NA,NA,NA
2017-04-28,"OAK","LAA",NA,NA,NA,NA
2017-04-28,"MIN","TEX",NA,NA,NA,NA
2017-04-28,"TOR","STL",NA,NA,NA,NA
2017-04-28,"SD","ARI",NA,NA,NA,NA
2017-04-28,"ATL","NYN",NA,NA,NA,NA
2017-04-28,"CHN","PIT",NA,NA,NA,NA
2017-04-28,"CIN","MIL",NA,NA,NA,NA
2017-04-28,"WAS","COL",NA,NA,NA,NA
2017-04-28,"LAN","SF",NA,NA,NA,NA
2017-04-28,"MIA","PHI",NA,NA,NA,NA
2017-04-29,"TB","BAL",NA,NA,NA,NA
2017-04-29,"NYA","BOS",NA,NA,NA,NA
2017-04-29,"KC","CHA",NA,NA,NA,NA
2017-04-29,"HOU","CLE",NA,NA,NA,NA
2017-04-29,"SEA","DET",NA,NA,NA,NA
2017-04-29,"OAK","LAA",NA,NA,NA,NA
2017-04-29,"MIN","TEX",NA,NA,NA,NA
2017-04-29,"TOR","STL",NA,NA,NA,NA
2017-04-29,"SD","ARI",NA,NA,NA,NA
2017-04-29,"ATL","NYN",NA,NA,NA,NA
2017-04-29,"CHN","PIT",NA,NA,NA,NA
2017-04-29,"CIN","MIL",NA,NA,NA,NA
2017-04-29,"WAS","COL",NA,NA,NA,NA
2017-04-29,"LAN","SF",NA,NA,NA,NA
2017-04-29,"MIA","PHI",NA,NA,NA,NA
2017-04-30,"NYA","BOS",NA,NA,NA,NA
2017-04-30,"HOU","CLE",NA,NA,NA,NA
2017-04-30,"SEA","DET",NA,NA,NA,NA
2017-04-30,"OAK","LAA",NA,NA,NA,NA
2017-04-30,"TOR","STL",NA,NA,NA,NA
2017-04-30,"SD","ARI",NA,NA,NA,NA
2017-04-30,"ATL","NYN",NA,NA,NA,NA
2017-04-30,"WAS","COL",NA,NA,NA,NA
2017-04-30,"LAN","SF",NA,NA,NA,NA
2017-04-30,"MIA","PHI",NA,NA,NA,NA
2017-05-01,"BAL","NYA",NA,NA,NA,NA
2017-05-01,"CHN","BOS",NA,NA,NA,NA
2017-05-01,"CHA","DET",NA,NA,NA,NA
2017-05-01,"SEA","CLE",NA,NA,NA,NA
2017-05-01,"OAK","HOU",NA,NA,NA,NA
2017-05-01,"MIN","KC",NA,NA,NA,NA
2017-05-01,"LAA","TEX",NA,NA,NA,NA
2017-05-01,"TB","TOR",NA,NA,NA,NA
