GameId,GameString,GameDate,LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,PrevDayGamesPlayed,G,GS,INN,PO,A,E,DP,TP,PB,FPctP,SB,CS,PKOF,FPctC,Outs,Chances,Zone,FPct,Pivots2B,Cint,Cer,Cera,Efield,Ethrow
,,,Carlyle,Earl,234194,"Carlyle Buddy",2010,NYN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Kershaw,Clayton,477132,"Kershaw Clayton",2036,LAN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,de la Rosa,Jorge,407822,"de la Rosa Jorge",2047,COL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Guthrie,Jeremy,425386,"Guthrie Jeremy",2072,MIA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Loewen,Adam,429400,"Loewen Adam",2134,ARI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Peralta,Senger David,444482,"Peralta David",2136,ARI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Narveson,Christopher,429780,"Narveson Chris",2141,MIA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Encarnacion,Edwin,429665,"Encarnacion Edwin",2151,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Howard,Ryan,429667,"Howard Ryan",2154,PHI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Simon,Alfredo,430580,"Simon Alfredo",2155,CIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Qualls,Chad,430589,"Qualls Chad",2170,COL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Kelly,Donald,430603,"Kelly Don",2216,MIA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Raburn,Ryan,430605,"Raburn Ryan",2218,COL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Bourgeois,Jason,430652,"Bourgeois Jason",2225,CHA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Wainwright,Adam,425794,"Wainwright Adam",2233,STL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Johnson,Kelly,430637,"Johnson Kelly",2234,NYN,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Boyer,Blaine,430641,"Boyer Blaine",2237,MIL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Gomes,Brandon,460156,"Gomes Brandon",2267,CHN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Schoop,Sharlon (Romans Emederio),463748,"Schoop Sharlon",2291,BAL,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Varvaro,Anthony,460008,"Varvaro Anthony",2385,BOS,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Rondon,Hector,444468,"Rondon Hector",2391,CHN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Santana,Carlos,467793,"Santana Carlos",2396,CLE,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
