LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,G,GS,INN,BallsInZone,MissedBallsInZone,OutsOutOfZone,CBlockingRuns,CFramingRuns,Cera
Ruxer,Jared James,596095,"Ruxer Jared",17671,KC,,,0,,,,,,,,
Whiting,Sutton,607768,"Whiting Sutton",18281,MIA,,,0,,,,,,,,
Weisenburger,Adam Robert,605523,"Weisenburger Adam",12948,MIL,,,0,,,,,,,,
Fox,Lucius,665650,"Fox Lucius",18899,TB,,,0,,,,,,,,
Toscano,Dian,661281,"Toscano Dian",17199,LAN,,,0,,,,,,,,
Baker,Dylan Ford,621173,"Baker Dylan",14577,CLE,,,0,,,,,,,,
Kemmer,Jon,643392,"Kemmer Jon",15364,HOU,,,0,,,,,,,,
Underwood Jr.,Duane Lee,621249,"Underwood Jr. Duane",14677,CHN,,,0,,,,,,,,
Holmes,Grant Grant,656550,"Holmes Grant",16944,OAK,,,0,,,,,,,,
Abreu,Albert Enmanuel,656061,"Abreu Albert",17485,NYA,,,0,,,,,,,,
Alvarado,Jose Antonio,621237,"Alvarado Jose",17780,TB,,,0,,,,,,,,
Rosario,Jose Junior,542231,"Rosario Jose",10186,CHN,,,0,,,,,,,,
Deglan,Kellin,592256,"Deglan Kellin",11348,TEX,,,0,,,,,,,,
Hagerty,Jason,571734,"Hagerty Jason",9141,SD,,,0,,,,,,,,
Bostick,Christopher Michael,607471,"Bostick Chris",13718,PIT,,,0,,,,,,,,
Santander,Anthony Roger,623993,"Santander Anthony",14551,BAL,,,0,,,,,,,,
Scivicque,Kade Hunter,664767,"Scivicque Kade",18132,ATL,,,0,,,,,,,,
Rowland,Robert,592700,"Rowland Robby",10827,STL,,,0,,,,,,,,
Sherfy,Jimmie Harold John,642073,"Sherfy Jimmie",15118,ARI,,,0,,,,,,,,
Lollis,Matthew Casey,571896,"Lollis Matt",10017,CHA,,,0,,,,,,,,
Portuondo,Carlos,667597,"Portuondo Carlos",19171,CIN,,,0,,,,,,,,
Moreno,Angel Jose,630029,"Moreno Angel",16443,TB,,,0,,,,,,,,
Jackson,Alex,656577,"Jackson Alex",17276,ATL,,,0,,,,,,,,
Duran,Juan Albert,544269,"Duran Juan",10180,CIN,,,0,,,,,,,,
Rosario,Randy Miguel,600968,"Rosario Randy",14508,MIN,,,0,,,,,,,,
Burdi,Nick Edward,595897,"Burdi Nick",16074,MIN,,,0,,,,,,,,
Chung,Byung Jo Derrick,623500,"Chung Derrick",13973,TOR,,,0,,,,,,,,
Nunez,Dom Manuel,624513,"Nunez Dom",15055,COL,,,0,,,,,,,,
Arcia,Francisco Antonio,516472,"Arcia Francisco",10286,MIA,,,0,,,,,,,,
Guzman,Jorge,660422,"Guzman Jorge",17505,NYA,,,0,,,,,,,,
Aplin,Andrew Ahyim,545331,"Aplin Andrew",13326,HOU,,,0,,,,,,,,
Slania,Dan Alexander,592753,"Slania Dan",15639,SF,,,0,,,,,,,,
Fierro,Edwin Edeir,616623,"Fierro Edwin",16970,TB,,,0,,,,,,,,
McFarland,Blake Mackey,607962,"McFarland Blake",12493,TOR,,,0,,,,,,,,
Espinoza,Anderson Jose,659262,"Espinoza Anderson Jose",18593,SD,,,0,,,,,,,,
Black,Daniel,542941,"Black Daniel",9201,MIA,,,0,,,,,,,,
Curletta,Joey Domenic,621575,"Curletta Joey",15035,SEA,,,0,,,,,,,,
Green,Nick,643340,"Green Nick",17906,NYA,,,0,,,,,,,,
Adams,Austin Lance,613534,"Adams Austin",13801,WAS,,,0,,,,,,,,
Davis,Taylor M.,543089,"Davis Taylor",12782,CHN,,,0,,,,,,,,
Musgrave,Harrison Scott,643466,"Musgrave Harrison",16532,COL,,,0,,,,,,,,
Cordell,Ryan Thomas,641477,"Cordell Ryan",15181,MIL,,,0,,,,,,,,
Kittredge,Andrew,552640,"Kittredge Andrew",12828,TB,,,0,,,,,,,,
Moronta,Reyes Armando,606625,"Moronta Reyes",14966,SF,,,0,,,,,,,,
Ficociello,Dominic Anthony,592301,"Ficociello Dominic",14866,DET,,,0,,,,,,,,
McMahon,Ryan P.,641857,"McMahon Ryan",15112,COL,,,0,,,,,,,,
Smith,Dominic David Rene,642086,"Smith Dominic",15653,NYN,,,0,,,,,,,,
Rodriguez,Reynaldo,471906,"Rodriguez Reynaldo",10097,MIN,,,0,,,,,,,,
Milner,Hoby Trey,571948,"Milner Hoby",13346,PHI,,,0,,,,,,,,
Travieso,Nick,621072,"Travieso Nick",14342,CIN,,,0,,,,,,,,
Travis,Sam John,607752,"Travis Sam",16263,BOS,,,0,,,,,,,,
Diaz,Luis Edgardo,571074,"Diaz Luis",12078,SD,,,0,,,,,,,,
Walker,Adam Brett,608724,"Walker Adam",13738,ATL,,,0,,,,,,,,
Straka,John,643559,"Straka John",15361,TOR,,,0,,,,,,,,
Wilkerson,Aaron Daniel,658792,"Wilkerson Aaron",16904,MIL,,,0,,,,,,,,
Feigl,Brady Matthew,621399,"Feigl Brady",15968,TEX,,,0,,,,,,,,
Kopech,Michael Talbert,656629,"Kopech Michael",17282,CHA,,,0,,,,,,,,
Othman,Sharif,607670,"Othman Sharif",12619,MIA,,,0,,,,,,,,
Baker,Tyler Lee,606928,"Baker Tyler",16154,ARI,,,0,,,,,,,,
Guzman,Ronald Enmanuel,608597,"Guzman Ronald",14388,TEX,,,0,,,,,,,,
Gunkel,Joe Dillon,641646,"Gunkel Joe",15075,BAL,,,0,,,,,,,,
Mejia,Francisco Jose,642336,"Mejia Francisco",16403,CLE,,,0,,,,,,,,
Rosenbaum,Daniel Eric,572095,"Rosenbaum Daniel",10352,BOS,,,0,,,,,,,,
Janas,Stephen Michael,641724,"Janas Stephen",15072,ATL,,,0,,,,,,,,
Ziomek,Kevin Matthew,592895,"Ziomek Kevin",14883,DET,,,0,,,,,,,,
Guerrero,Jordan Andrew,622218,"Guerrero Jordan",13864,CHA,,,0,,,,,,,,
Carle,Shane Taylor,641438,"Carle Shane",15258,COL,,,0,,,,,,,,
Middleton,Keynan Anthony,641871,"Middleton Keynan",15264,LAA,,,0,,,,,,,,
Cozens,Dylan Wallace,622226,"Cozens Dylan",15115,PHI,,,0,,,,,,,,
Bean,Steve William,621515,"Bean Steve",13678,STL,,,0,,,,,,,,
Valera,Rafael Pastor,622712,"Valera Rafael",17259,MIN,,,0,,,,,,,,
Gadea,Kevin,640737,"Gadea Kevin",19237,TB,,,0,,,,,,,,
Soriano,Wilson,570557,"Soriano Wilson",14262,COL,,,0,,,,,,,,
Naylor,Josh,647304,"Naylor Josh",18839,SD,,,0,,,,,,,,
Smith,Tyler,642094,"Smith Tyler",12490,SEA,,,0,,,,,,,,
Torres,Ramon Alexander,593527,"Torres Ramon",14113,KC,,,0,,,,,,,,
Tillman,Daniel,534581,"Tillman Daniel",10724,MIL,,,0,,,,,,,,
Green,Austin Darrell,643337,"Green Austin",14803,DET,,,0,,,,,,,,
Romero,Fernando Ernesto,622864,"Romero Fernando",15885,MIN,,,0,,,,,,,,
Doe,Brett Franklin,571622,"Doe Brett Franklin",16034,MIN,,,0,,,,,,,,
Evans,Bryan,543141,"Evans Bryan",6379,SEA,,,0,,,,,,,,
Gagnon,Drew,543193,"Gagnon Drew",12545,LAA,,,0,,,,,,,,
Ravelo,Rangel,592660,"Ravelo Rangel",10839,OAK,,,0,,,,,,,,
Sitton,Kraig Matthew,552668,"Sitton Kraig",11171,SF,,,0,,,,,,,,
Ferguson,Collin Malloy,656417,"Ferguson Collin",17786,COL,,,0,,,,,,,,
Reinheimer,Jack Patrick,595373,"Reinheimer Jack",14938,ARI,,,0,,,,,,,,
Heim,Jonah Nathan,641680,"Heim Jonah",16930,TB,,,0,,,,,,,,
Taijeron,Travis Nathaniel,607369,"Taijeron Travis",11935,NYN,,,0,,,,,,,,
Smith,Caleb Anthony,592761,"Smith Caleb",14875,NYA,,,0,,,,,,,,
Keyes,Kevin Jamal,518881,"Keyes Kevin",11234,TEX,,,0,,,,,,,,
Williams,Ryan Arthur,657123,"Williams Ryan",16644,CHN,,,0,,,,,,,,
Lively,Ben Bennett,594902,"Lively Ben",14932,PHI,,,0,,,,,,,,
Dragmire,Brady John,607170,"Dragmire Brady",15021,TEX,,,0,,,,,,,,
Brattvet,Scott Michael,642835,"Brattvet Scott",15270,CIN,,,0,,,,,,,,
Sheffield,Justus Kane,656954,"Sheffield Justus",17285,NYA,,,0,,,,,,,,
Almonte,Jose Ramon,642767,"Almonte Jose Ramon",17826,ARI,,,0,,,,,,,,
Flexen,Christoper,623167,"Flexen Chris",13896,NYN,,,0,,,,,,,,
Montgomery,Mark Garrett,605384,"Montgomery Mark",12273,STL,,,0,,,,,,,,
Herrera,Ronald Jose,622703,"Herrera Ronald",15688,NYA,,,0,,,,,,,,
Lee,Christopher,595296,"Lee Chris",12250,BAL,,,0,,,,,,,,
Cave,Jake Jacob,595909,"Cave Jake",14477,NYA,,,0,,,,,,,,
Strong,Michael Joseph,572175,"Strong Mike",12081,MIN,,,0,,,,,,,,
Garcia,Rene,543200,"Garcia Rene",7318,MIL,,,0,,,,,,,,
Garver,Mitchell Lynn,641598,"Garver Mitch",15161,MIN,,,0,,,,,,,,
Jansen,Danny Robert,643376,"Jansen Danny",16535,TOR,,,0,,,,,,,,
Reifer,Adam James,519179,"Reifer Adam",4029,TB,,,0,,,,,,,,
Romero,Deibinson Joel,466480,"Romero Deibinson",1971,NYA,,,0,,,,,,,,
Doolittle,Ryan Scott,543114,"Doolittle Ryan",4968,OAK,,,0,,,,,,,,
Banda,Anthony Anthony,607455,"Banda Anthony",14706,ARI,,,0,,,,,,,,
Barnette,Tyler Benjamin,592132,"Barnette Tyler",14918,SD,,,0,,,,,,,,
De La Rosa,Bryan,621511,"De La Rosa Bryan",14394,ATL,,,0,,,,,,,,
Moreno,Rando,607437,"Moreno Rando",14540,SF,,,0,,,,,,,,
Gonzalez,Benjamin,543232,"Gonzalez Benji",10172,SEA,,,0,,,,,,,,
Hultzen,Danny Alexander,543343,"Hultzen Danny",12874,SEA,,,0,,,,,,,,
Biddle,Jesse Thomas,592145,"Biddle Jesse",11437,ATL,,,0,,,,,,,,
Jaye,Myles Joseph,594867,"Jaye Myles",11769,DET,,,0,,,,,,,,
Romano,Salvatore,607219,"Romano Sal",13690,CIN,,,0,,,,,,,,
Rhame,Jacob Alan,642008,"Rhame Jacob",15267,LAN,,,0,,,,,,,,
Gonzalez,Felipe,542413,"Gonzalez Felipe",14248,MIA,,,0,,,,,,,,
Barreto,Franklin Jose,620439,"Barreto Franklin",15519,OAK,,,0,,,,,,,,
Wahl,Bobby Martin,592833,"Wahl Bobby",14832,OAK,,,0,,,,,,,,
Greene,Conner Conner,641632,"Greene Conner",16455,TOR,,,0,,,,,,,,
Katz,Alex Benjamin,621355,"Katz Alex",18324,CHA,,,0,,,,,,,,
Osuna,Jose Gregorio,591741,"Osuna Jose",12937,PIT,,,0,,,,,,,,
Johnson,Pierce,572955,"Johnson Pierce",13435,CHN,,,0,,,,,,,,
Hankins,Todd,607399,"Hankins Todd",12416,CLE,,,0,,,,,,,,
Dziedzic,Jonathan Michael,571639,"Dziedzic Jonathan",14809,KC,,,0,,,,,,,,
Waldron,Tyler,552673,"Waldron Tyler",10610,STL,,,0,,,,,,,,
Kubiak,David,607608,"Kubiak David",12625,NYA,,,0,,,,,,,,
Wick,Rowan,592858,"Wick Rowan",14646,STL,,,0,,,,,,,,
Gomber,Austin Zachary,596295,"Gomber Austin",16561,STL,,,0,,,,,,,,
Kennelly,Matt Luke,499882,"Kennelly Matt",5947,ATL,,,0,,,,,,,,
Dewees,Donnie,664159,"Dewees Donnie",18055,KC,,,0,,,,,,,,
Tobias,Joshua Henry James,596122,"Tobias Josh",17663,BOS,,,0,,,,,,,,
Zarate,Robert Alexander,462110,"Zarate Robert",5612,PIT,,,0,,,,,,,,
Berry,Timothy David,572718,"Berry Tim",11606,MIA,,,0,,,,,,,,
Johnson,Stephen Alexander,621283,"Johnson Stephen",13521,CIN,,,0,,,,,,,,
Tavarez,Aneury De Jesus,606477,"Tavarez Aneury",13627,BOS,,,0,,,,,,,,
Nielsen,Trey Storm,592594,"Nielsen Trey",15785,STL,,,0,,,,,,,,
Lee,Hak-Ju,573349,"Lee Hak-Ju",5904,SF,,,0,,,,,,,,
Walters,Jeffrey Aaron,502368,"Walters Jeffrey",10530,NYN,,,0,,,,,,,,
Jagielo,Eric Stephen,592429,"Jagielo Eric",15439,CIN,,,0,,,,,,,,
Melotakis,Mason Emmanual,608691,"Melotakis Mason",13756,MIN,,,0,,,,,,,,
Stephens,Jackson Tanner,623451,"Stephens Jackson",14420,CIN,,,0,,,,,,,,
Rivero,Armando,633831,"Rivero Armando",15153,ATL,,,0,,,,,,,,
Anderson,Andrew,623454,"Anderson Drew",15130,PHI,,,0,,,,,,,,
Astudillo,Willians Jose,553902,"Astudillo Willians",15608,ATL,,,0,,,,,,,,
Liranzo,Jesus,622338,"Liranzo Jesus",19189,BAL,,,0,,,,,,,,
Cuevas,Juan Pedro,656104,"Cuevas Juan Pedro",17500,MIA,,,0,,,,,,,,
Otero,Andy Rolando,554241,"Otero Andy",12900,ATL,,,0,,,,,,,,
McKinney,Billy Landis,641856,"McKinney Billy",15654,NYA,,,0,,,,,,,,
Pinto,Ricardo Antonio,620982,"Pinto Ricardo",16318,PHI,,,0,,,,,,,,
