GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,,
4/13/2016,Shane,Greene,DET,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/11/2016,James Thomas,McCann,DET,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,2,,,,,,,,
4/22/2016,Robert,Wilson,DET,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,2,,,,,,,,
4/14/2016,Jordan,Zimmermann,DET,0.14,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,1,,,,,,,,
4/10/2016,Jason Michael,Castro,HOU,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/23/2016,Evan,Gattis,HOU,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/27/2016,Carlos,Gomez,HOU,0.01,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/7/2016,Marwin Javier,Gonzalez,HOU,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,2,,,,,,,,
4/12/2016,Erik,Kratz,HOU,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/22/2016,Erik,Kratz,HOU,-1.03,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,2,,,,,,,,
4/19/2016,Jake Shawn,Marisnick,HOU,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/5/2016,Preston,Tucker,HOU,0.55,,,,,,,,,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,1,,,,,,,,
4/14/2016,Preston,Tucker,HOU,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/19/2016,Preston,Tucker,HOU,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,2,,,,,,,,
4/27/2016,Preston,Tucker,HOU,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/5/2016,Tyler,White,HOU,0.79,,,,,,,,,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,,,,
4/9/2016,Austin Scott,Barnes,LAN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/20/2016,Charlie Edward,Culberson,LAN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/21/2016,Yasmani,Grandal,LAN,1.13,,,,,,,,,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,,,,,,,,
4/10/2016,Enrique,Hernandez,LAN,0.08,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,1,,,,,,,,
4/20/2016,Enrique,Hernandez,LAN,0.31,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/9/2016,Micah,Johnson,LAN,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/21/2016,Howard,Kendrick,LAN,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,2,,,,,,,,
4/28/2016,Kenta,Maeda,LAN,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,0,2,,,,,,,,
4/17/2016,Joc,Pederson,LAN,1.15,,,,,,,,,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,,,,,,,,
4/30/2016,Joc,Pederson,LAN,-0.38,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,0,1,,,,,,,,
4/9/2016,Corey Drew,Seager,LAN,1.13,,,,,,,,,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,,,,,,,,
4/25/2016,Corey,Seager,LAN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/30/2016,Ross,Stripling,LAN,0.01,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/4/2016,Trayce,Thompson,LAN,1.13,,,,,,,,,2,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,,,,,,,,
4/22/2016,Trayce,Thompson,LAN,-0.65,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2,,,,,,,,
4/27/2016,Trayce,Thompson,LAN,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,2,,,,,,,,
4/30/2016,Trayce,Thompson,LAN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/21/2016,Justin,Turner,LAN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,2,,,,,,,,
4/28/2016,Justin,Turner,LAN,0.92,,,,,,,,,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,,,,,,,,
4/9/2016,Scott T,Van Slyke,LAN,0.08,,,,,,,,,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,1,,,,,,,,
