GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,
4/9/2016,Rusney,Castillo,BOS,0.76,,,,,,,,,4,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,,0,2,,,,,,,
4/17/2016,Ryan,Hanigan,BOS,-0.49,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,,0,3,,,,,,,
4/17/2016,Marco Antonio,Hernandez,BOS,0.84,,,,,,,,,3,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,,0,1,,,,,,,
4/30/2016,Brock,Holt,BOS,0.75,,,,,,,,,5,4,2,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,,1,2,,,,,,,
4/27/2016,David,Ortiz,BOS,1.90,,,,,,,,,5,5,2,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,,0,2,,,,,,,
4/28/2016,David,Ortiz,BOS,-1.15,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,,0,4,,,,,,,
4/30/2016,David,Ortiz,BOS,1.94,,,,,,,,,4,3,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,,0,1,,,,,,,
4/5/2016,Dustin,Pedroia,BOS,-0.67,,,,,,,,,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,,0,4,,,,,,,
4/30/2016,Dustin,Pedroia,BOS,-0.74,,,,,,,,,5,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,,0,4,,,,,,,
4/25/2016,Rick,Porcello,BOS,-0.04,,,,,,,,,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,,,,,,,
4/5/2016,Hanley,Ramirez,BOS,0.68,,,,,,,,,5,4,1,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,,0,2,,,,,,,
4/27/2016,Hanley,Ramirez,BOS,-0.06,,,,,,,,,4,4,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,,0,3,,,,,,,
4/30/2016,Hanley,Ramirez,BOS,-0.11,,,,,,,,,5,4,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,,0,3,,,,,,,
4/18/2016,Josh Alan,Rutledge,BOS,0.23,,,,,,,,,3,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,2,,,,,,,
4/16/2016,Travis,Shaw,BOS,0.42,,,,,,,,,4,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,,0,2,,,,,,,
4/30/2016,Travis,Shaw,BOS,0.02,,,,,,,,,5,5,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,,0,3,,,,,,,
4/9/2016,Blake Aubry,Swihart,BOS,0.74,,,,,,,,,4,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,,0,1,,,,,,,
4/30/2016,Christian,Vazquez,BOS,-0.69,,,,,,,,,5,5,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,,0,4,,,,,,,
4/17/2016,Christopher,Young,BOS,-1.22,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,,0,4,,,,,,,
4/14/2016,Jose Dariel,Abreu,CHA,0.14,,,,,,,,,4,3,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,,0,2,,,,,,,
4/30/2016,Jose,Abreu,CHA,-0.29,,,,,,,,,5,5,1,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,2,0,,0,3,,,,,,,
4/13/2016,Alex,Avila,CHA,-1.07,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,,0,4,,,,,,,
